"","seqnames","start","end","width","strand","Conc","Conc_V2084D_shEV","Conc_WT_shEV","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","flank_txIds","flank_geneIds","flank_gene_distances"
"5","chr13",20902461,20902861,401,"*",4.37529647455903,2.70142794694005,5.12940422773713,-2.44943618193662,3.43807726322738e-09,1.28811002744077e-05,"Promoter (<=1kb)",13,20777329,20902746,125418,2,"64328","ENST00000255305.11",0,"ENSG00000132953","XPO4","exportin 4","ENST00000255305.11;ENST00000490513.1;ENST00000465018.1","64328;64328;64328","0;0;0"
"2520","chr14",20971304,20971704,401,"*",4.4429167793702,3.75374071498544,4.90736762737928,-1.18689314119948,0.000907995185661484,0.00674711376953454,"Distal Intergenic",14,20955487,20956436,950,1,"6036","ENST00000304625.3",15817,"ENSG00000169385","RNASE2","ribonuclease A family member 2",NA,NA,NA
"156","chr5",77852497,77852897,401,"*",4.68644714942609,3.64535603409243,5.28485065943293,-1.67087604718599,2.26142776729821e-06,0.000268702926458975,"Intron (ENST00000522370.1/6902, intron 1 of 3)",5,77691404,77868780,177377,2,"6902","ENST00000522370.1",15883,"ENSG00000171530","TBCA","tubulin folding cofactor A","ENST00000522370.1","6902","0"
"4637","chr20",31612818,31613218,401,"*",4.53817411701996,3.99952252502231,4.92948648998986,-0.964782300551705,0.0045739300152558,0.0184702373304132,"Distal Intergenic",20,31607186,31607240,55,1,"100422904","ENST00000578262.1",5632,"ENSG00000264395","MIR3193","microRNA 3193",NA,NA,NA
"140","chr7",116218288,116218688,401,"*",4.37633555849491,3.17448291937873,5.02275936964465,-1.87600524771538,1.77649244745942e-06,0.000236021510767783,"Intron (ENST00000461440.5/26136, intron 1 of 2)",7,116222804,116258783,35980,1,"26136","ENST00000393481.6",-4116,"ENSG00000135269","TES","testin LIM domain protein","ENST00000461440.5;ENST00000455989.1;ENST00000358204.9;ENST00000492891.5;ENST00000496871.1;ENST00000393481.6;ENST00000485009.1","26136;26136;26136;26136;26136;26136;26136","0;0;0;0;0;-4116;-4263"
"7215","chr7",2757960,2758360,401,"*",4.22891001411085,3.75465840544599,4.58523402950442,-0.864985248755108,0.0176437399039822,0.0457974476404736,"Intron (ENST00000489665.1/155185, intron 4 of 4)",7,2731351,2760452,29102,2,"2768","ENST00000485329.1",2092,"ENSG00000146535","GNA12","G protein subunit alpha 12","ENST00000489665.1;ENST00000275364.8;ENST00000491117.5;ENST00000407904.7;ENST00000407653.1;ENST00000496740.6;ENST00000471281.5;ENST00000485329.1","155185;2768;2768;2768;2768;2768;2768;2768","0;0;0;0;0;0;0;0"
"11758","chr2",196905848,196906248,401,"*",3.85815033104082,3.52317264236375,4.12981934770581,-0.641368525757666,0.106539581894232,0.169668110824164,"Intron (ENST00000354764.9/80055, intron 4 of 26)",2,196872960,196890857,17898,2,"80055","ENST00000482051.5",-14991,"ENSG00000197121","PGAP1","post-GPI attachment to proteins inositol deacylase 1","ENST00000354764.9;ENST00000423035.5;ENST00000470179.5;ENST00000409475.5;ENST00000409188.5;ENST00000374738.3;ENST00000485830.1","80055;80055;80055;80055;80055;80055;80055","0;0;0;0;0;0;0"
"408","chr5",77995946,77996346,401,"*",4.79388782469974,3.94978075441145,5.3229036534458,-1.40658557166337,1.49283618993413e-05,0.000680497708124456,"Distal Intergenic",5,78002995,78015873,12879,2,"8546","ENST00000520122.1",19527,"ENSG00000132842","AP3B1","adaptor related protein complex 3 subunit beta 1","ENST00000519295.6","8546","0"
"6207","chr7",1418534,1418934,401,"*",3.6431654730794,2.99863131865921,4.08709105653399,-1.11808756480985,0.0110431117454195,0.0333135948695685,"Distal Intergenic",7,1428465,1437611,9147,2,"79778","ENST00000493998.1",18677,"ENSG00000164877","MICALL2","MICAL like 2",NA,NA,NA
"463","chr19",18323074,18323474,401,"*",4.75241155933831,3.85238556795013,5.30244824213215,-1.48294413830165,1.90815615273567e-05,0.00077037692261201,"Promoter (<=1kb)",19,18306236,18323076,16841,2,"25804","ENST00000593829.6",0,"ENSG00000130520","LSM4","LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated","ENST00000593829.6;ENST00000252816.10;ENST00000600289.6;ENST00000594828.7;ENST00000593564.2","25804;25804;25804;25804;25804","0;-3;-14;0;0"
"7506","chr6",134673525,134673925,401,"*",3.90753487307094,3.39274553675331,4.28616287863497,-0.926176610564629,0.0201106547389289,0.0501775299979164,"Promoter (<=1kb)",6,134520163,134673960,153798,2,"101928304","ENST00000650393.1",35,"ENSG00000232310","LINC03002","long intergenic non-protein coding RNA 3002","ENST00000650393.1;ENST00000655921.2;ENST00000665479.1;ENST00000702656.1;ENST00000661776.1","101928304;101928304;101928304;101928304;101928304","0;0;0;0;0"
"1417","chr7",104944994,104945394,401,"*",4.22789370925011,3.3892147937782,4.75480849703177,-1.39639918406518,0.000231245456184972,0.00305495143209667,"Intron (ENST00000653259.1/55904, intron 1 of 1)",7,104941662,105000643,58982,1,"55904","ENST00000659776.1",3332,"ENSG00000005483","KMT2E","lysine methyltransferase 2E (inactive)","ENST00000653259.1;ENST00000671314.1;ENST00000415513.1;ENST00000622386.2;ENST00000659776.1","55904;55904;55904;55904;55904","0;0;0;0;0"
"3097","chr7",28904870,28905270,401,"*",3.32211076411505,2.32244438080308,3.90696204212747,-1.60478133574239,0.00149974662707369,0.009064568070261,"Distal Intergenic",7,28953358,28958330,4973,2,"9865","ENST00000539664.3",53060,"ENSG00000255690","TRIL","TLR4 interactor with leucine rich repeats",NA,NA,NA
"11848","chr15_KI270850v1_alt",121400,121800,401,"*",3.0440594518279,2.58329992170644,3.39274101340119,-0.838234108351035,0.109802411227293,0.173536536701331,"Promoter (1-2kb)",333,113267,122964,9698,2,"100505679","ENST00000610645.1",1164,"ENSG00000259511","UBE2Q2P16","UBE2Q2 pseudogene 16","ENST00000610645.1","100505679","0"
"1167","chr16",1705770,1706170,401,"*",4.86904558266447,4.16361294775662,5.34074440559983,-1.21181018997753,0.000140355558735198,0.00225109647413224,"Promoter (<=1kb)",16,1706166,1752983,46818,1,"23162","ENST00000685674.1",0,"ENSG00000138834","MAPK8IP3","mitogen-activated protein kinase 8 interacting protein 3","ENST00000685674.1;ENST00000250894.8;ENST00000673691.1;ENST00000356010.9;ENST00000610761.2;ENST00000564098.5;ENST00000685565.1;ENST00000561765.1;ENST00000562684.5;ENST00000248098.8;ENST00000562569.1","23162;23162;23162;23162;23162;23162;23162;23162;90861;90861;90861","0;0;0;0;0;-71;-170;-209;0;0;20270"
"827","chr2",68045385,68045785,401,"*",3.55549788910687,2.17271504201364,4.24839069068905,-2.09094184085204,6.01158348705282e-05,0.00136008446211305,"Promoter (<=1kb)",2,68042714,68046568,3855,2,"10438","ENST00000479484.1",783,"ENSG00000197223","C1D","C1D nuclear receptor corepressor","ENST00000355848.7;ENST00000410067.8;ENST00000407324.5;ENST00000409302.1;ENST00000479484.1;ENST00000485709.1;ENST00000470189.2","10438;10438;10438;10438;10438;10438;105374789","0;0;0;0;0;0;0"
"9456","chr1",8525899,8526299,401,"*",3.4257371948355,2.90478654776367,3.80767120122498,-0.933071578442662,0.0457118031215299,0.0905283644037441,"Promoter (<=1kb)",1,8352406,8525939,173534,2,"473","ENST00000377464.5",0,"ENSG00000142599","RERE","arginine-glutamic acid dipeptide repeats","ENST00000337907.7;ENST00000400908.7;ENST00000377464.5;ENST00000400907.6;ENST00000656437.1;ENST00000464972.5;ENST00000659924.1;ENST00000480342.5;ENST00000507012.1","473;473;473;473;473;473;473;473;473","0;0;0;0;0;0;0;0;0"
"6931","chr19",37469139,37469539,401,"*",4.28507562179321,3.80760858041688,4.6432045476964,-0.870149403125283,0.0154104255976543,0.0416390455388516,"Promoter (<=1kb)",19,37411170,37469270,58101,2,"148266","ENST00000448051.7",0,"ENSG00000196437","ZNF569","zinc finger protein 569","ENST00000392149.6;ENST00000316950.11;ENST00000448051.7;ENST00000592490.5;ENST00000591710.5;ENST00000591073.1;ENST00000587363.1;ENST00000586475.5;ENST00000591380.1;ENST00000588644.5;ENST00000330173.6;ENST00000590664.5;ENST00000589725.1","148266;148266;148266;148266;148266;148266;148268;148268;148268;148268;148268;148268;148268","0;0;0;0;0;0;0;0;0;0;0;0;-32"
"684","chr3",188947785,188948185,401,"*",3.95404691046421,2.80499633279547,4.58545681097028,-1.80524524506431,3.95025504003195e-05,0.00108029383452436,"Promoter (<=1kb)",3,188941196,188947679,6484,2,"100874043","ENST00000444488.2",-106,NA,"TPRG1-AS1","TPRG1 antisense RNA 1","ENST00000444488.2;ENST00000433971.5","100874043;285386","-106;0"
"397","chr1",210232328,210232728,401,"*",4.34024998770362,3.32455648400374,4.93040594811204,-1.63540899414957,1.43389097024349e-05,0.00067490149611988,"Promoter (<=1kb)",1,210232796,210246255,13460,1,"56256","ENST00000367012.4",-68,"ENSG00000082497","SERTAD4","SERTA domain containing 4","ENST00000367012.4;ENST00000490620.5;ENST00000475406.5;ENST00000703020.1;ENST00000437764.5;ENST00000480052.1","56256;56256;574036;574036;574036;574036","0;0;0;0;0;0"
"9147","chrX",123846698,123847098,401,"*",4.10924830149821,3.70146959610334,4.42680352456817,-0.760008247641054,0.0405926657862518,0.0831062741173611,"Distal Intergenic",23,123859712,123909171,49460,1,"331","ENST00000422098.6",-12614,"ENSG00000101966","XIAP","X-linked inhibitor of apoptosis",NA,NA,NA
"1405","chr21",46184447,46184847,401,"*",4.76809356737136,4.08706796369982,5.2288657797734,-1.17629238097927,0.000226213879452251,0.00301398620467924,"Promoter (<=1kb)",21,46161148,46184476,23329,2,"84221","ENST00000330205.10",0,"ENSG00000160284","SPATC1L","spermatogenesis and centriole associated 1 like","ENST00000356396.8;ENST00000491729.1;ENST00000397728.8;ENST00000419093.5;ENST00000457828.6;ENST00000474319.1;ENST00000330205.10;ENST00000291672.6","4047;4047;4047;4047;4047;4047;84221;84221","0;8640;0;9733;0;8523;0;0"
"411","chr11",120401106,120401506,401,"*",3.04422705829967,0.998986763812322,3.8579306089406,-2.83850695606326,1.49994495844307e-05,0.000680497708124456,"Intron (ENST00000397843.7/23365, intron 1 of 40)",11,120405933,120411837,5905,1,"23365","ENST00000530388.1",-4427,"ENSG00000196914","ARHGEF12","Rho guanine nucleotide exchange factor 12","ENST00000397843.7;ENST00000356641.7;ENST00000532993.5;ENST00000529970.5;ENST00000530388.1","23365;23365;23365;23365;23365","0;0;0;0;-4427"
"1927","chr10",75613838,75614238,401,"*",4.59906493929931,3.90367872036208,5.06629852843439,-1.1964472542566,0.000472876245579675,0.00459237375602438,"Intron (ENST00000611255.5/83938, intron 2 of 6)",10,75601240,76036136,434897,1,"83938","ENST00000593817.1",12598,"ENSG00000148655","LRMDA","leucine rich melanocyte differentiation associated","ENST00000611255.5;ENST00000593817.1","83938;83938","0;0"
"718","chr12",24069588,24069988,401,"*",3.64491375028111,2.32036517821522,4.32364003164872,-2.02125506931108,4.4220790569416e-05,0.00115063363242725,"Intron (ENST00000646273.1/6660, intron 5 of 16)",12,23534048,23951032,416985,2,"6660","ENST00000545921.5",-118556,"ENSG00000134532","SOX5","SRY-box transcription factor 5","ENST00000646273.1;ENST00000659413.1;ENST00000536729.2;ENST00000446891.7","6660;6660;6660;6660","0;0;0;0"
"5575","chr22",21952631,21953031,401,"*",4.0440380783404,3.45856363808604,4.45933147927891,-1.03333511541647,0.00803975879941304,0.0270053436595669,"Promoter (<=1kb)",22,21919425,21952848,33424,2,"9647","ENST00000263212.10",0,"ENSG00000100034","PPM1F","protein phosphatase, Mg2+/Mn2+ dependent 1F","ENST00000458178.2;ENST00000357179.10;ENST00000457270.5;ENST00000457179.5;ENST00000398793.6;ENST00000444502.5;ENST00000436282.1;ENST00000263212.10;ENST00000397495.8;ENST00000497072.1","100286925;8940;8940;8940;8940;8940;8940;9647;9647;9647","0;0;15709;0;0;0;14619;0;0;0"
"2863","chr1",181099630,181100030,401,"*",4.22970096832415,3.52581474096212,4.70071539461948,-1.20706529589689,0.00124838143518953,0.00816547815132872,"Distal Intergenic",1,181088700,181092900,4201,1,"51278","ENST00000367577.7",10930,"ENSG00000162783","IER5","immediate early response 5",NA,NA,NA
"4961","chr10",104121293,104121693,401,"*",4.49046779509175,3.94872919171511,4.88339781269323,-0.969351645034241,0.00564059782762091,0.0212906143672824,"Promoter (<=1kb)",10,104122058,104123363,1306,1,"119392","ENST00000463224.5",-365,"ENSG00000156384","SFR1","SWI5 dependent homologous recombination repair protein 1","ENST00000463224.5;ENST00000369729.7;ENST00000369727.4","119392;119392;119392","0;0;0"
"145","chr13",99968945,99969345,401,"*",4.28595016900362,3.08862761653577,4.93111333861471,-1.86957506225193,1.91318503541361e-06,0.000244182345155181,"Intron (ENST00000267294.5/85416, intron 1 of 1)",13,99962964,99971767,8804,2,"85416","ENST00000267294.5",2422,"ENSG00000139800","ZIC5","Zic family member 5","ENST00000267294.5","85416","0"
"4169","chr7",74993991,74994391,401,"*",4.82101537135637,4.32263850952166,5.19073000113137,-0.90392752125968,0.0033739435702879,0.015153221026661,"Intron (ENST00000616305.2/729438, intron 1 of 8)",7,75007888,75021943,14056,1,"729438","ENST00000622472.1",-13497,"ENSG00000274070","CASTOR2","cytosolic arginine sensor for mTORC1 subunit 2","ENST00000616305.2","729438","0"
"294","chr3",28348840,28349240,401,"*",5.08788484095472,4.25025508619487,5.61439227041843,-1.39864509019699,8.11026581397339e-06,0.000515015625400554,"Promoter (<=1kb)",3,28349146,28435157,86012,1,"152098","ENST00000420223.5",0,"ENSG00000206559","ZCWPW2","zinc finger CW-type and PWWP domain containing 2","ENST00000383768.7;ENST00000420223.5;ENST00000635992.1;ENST00000479665.6;ENST00000295748.7;ENST00000463512.5;ENST00000334100.10;ENST00000420543.6;ENST00000457172.5;ENST00000414162.5;ENST00000415852.1","152098;152098;152098;64343;64343;64343;64343;64343;64343;64343;64343","0;0;0;-16;-50;0;-211;0;-21;0;-363"
"2293","chr12",131860337,131860737,401,"*",3.67297597807811,2.69823783904803,4.24941859518239,-1.57593520607319,0.000718933242653746,0.00587087028536732,"Intron (ENST00000542763.2/ENST00000542763.2, intron 1 of 2)",12,131844961,131850062,5102,1,"4326","ENST00000542648.1",15376,"ENSG00000198598","MMP17","matrix metallopeptidase 17",NA,NA,NA
"3831","chr4",180542473,180542873,401,"*",3.61472310180465,2.80796950230721,4.1290556754152,-1.34799324387189,0.00267038609944557,0.0130509634231447,"Distal Intergenic",4,180527968,180532810,4843,2,"105377565","ENST00000702029.1",-9663,NA,"LOC105377565","uncharacterized LOC105377565",NA,NA,NA
"2675","chr5",10627814,10628214,401,"*",3.49157009011499,2.4556003429587,4.08832593866117,-1.65443526991229,0.001047214729112,0.00732752834234505,"Exon (ENST00000506304.1/ENST00000506304.1, exon 1 of 2)",5,10564330,10649624,85295,1,"651746","ENST00000504806.5",63484,"ENSG00000164236","ANKRD33B","ankyrin repeat domain 33B","ENST00000296657.7;ENST00000504806.5","651746;651746","0;0"
"347","chr15",43777333,43777733,401,"*",4.87040839293604,3.99775917529657,5.41029371939148,-1.44608001547521,1.0755073406665e-05,0.000578239006402313,"Promoter (<=1kb)",15,43775565,43777315,1751,2,"80237","ENST00000433927.1",-18,"ENSG00000128886","ELL3","elongation factor for RNA polymerase II 3","ENST00000474290.1;ENST00000381359.5;ENST00000686314.1;ENST00000688851.1;ENST00000300289.10;ENST00000467869.5;ENST00000417761.2;ENST00000319359.8;ENST00000497465.1;ENST00000497530.5;ENST00000486851.5;ENST00000476335.1;ENST00000433927.1;ENST00000497700.1","10169;10169;2923;2923;2923;80237;80237;80237;80237;80237;80237;80237;80237;80237","0;0;0;0;0;-950;0;-367;-1828;-893;-367;-761;-18;-365"
"6280","chr1",10494646,10495046,401,"*",3.4268702411494,2.69933401357714,3.90823696830458,-1.23557873275647,0.0115622589762754,0.0344787961481323,"Intron (ENST00000472851.1/5195, intron 1 of 3)",1,10474982,10623286,148305,1,"5195","ENST00000491661.2",19664,"ENSG00000142655","PEX14","peroxisomal biogenesis factor 14","ENST00000472851.1;ENST00000356607.9;ENST00000491661.2","5195;5195;5195","0;0;0"
"1356","chrY",2451957,2452357,401,"*",3.97546101686757,2.99684264108692,4.55322530520938,-1.58378174539504,0.000203076853183146,0.00280156386034873,"Intron (ENST00000334651.11/207063, intron 1 of 6)",24,2488186,2500555,12370,2,"9189","ENST00000381218.8",48198,"ENSG00000214717","ZBED1","zinc finger BED-type containing 1","ENST00000334651.11;ENST00000412516.7;ENST00000444280.6;ENST00000441131.7;ENST00000478825.7;ENST00000430536.7","207063;207063;207063;207063;207063;207063","0;0;0;0;0;0"
"13167","chr14",77315782,77316182,401,"*",3.49176977189551,3.17069567125981,3.75423456725633,-0.617195210309244,0.174003336943798,0.247445874969116,"Intron (ENST00000261534.9/29954, intron 1 of 20)",14,77304773,77312635,7863,2,"29954","ENST00000557525.1",-3147,"ENSG00000009830","POMT2","protein O-mannosyltransferase 2","ENST00000361389.8;ENST00000553838.5;ENST00000554279.5;ENST00000557639.5;ENST00000349555.7;ENST00000553770.1;ENST00000216465.10;ENST00000553431.5;ENST00000556627.5;ENST00000557053.5;ENST00000553268.5;ENST00000261534.9;ENST00000452340.7;ENST00000556394.2;ENST00000682467.1;ENST00000682795.1;ENST00000682247.1;ENST00000684259.1;ENST00000683188.1;ENST00000683828.1;ENST00000682382.1;ENST00000556326.5;ENST00000554948.1;ENST00000684102.1;ENST00000684600.1;ENST00000555788.5;ENST00000557525.1;ENST00000684344.1;ENST00000684534.1","2954;2954;2954;2954;2954;2954;2954;2954;2954;2954;2954;29954;29954;29954;29954;29954;29954;29954;29954;29954;29954;29954;29954;29954;29954;29954;29954;29954;29954","-4814;-4817;-4833;-4838;-4843;-4850;-4854;-4856;-4856;-4896;-4912;0;0;0;0;0;0;-3386;0;0;0;0;0;-3755;-3749;-3403;-3147;0;0"
