"","seqnames","start","end","width","strand","Conc","Conc_V2084D.shEV","Conc_WT.shEV","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","flank_txIds","flank_geneIds","flank_gene_distances"
"26","chr15",43777333,43777733,401,"*",4.87040839293604,3.99775917529657,5.41029371939148,-1.44608001547521,1.0755073406665e-05,0.000578239006402313,"Promoter (<=1kb)",15,43775565,43777315,1751,2,"80237","ENST00000433927.1",-18,"ENSG00000128886","ELL3","elongation factor for RNA polymerase II 3","ENST00000474290.1;ENST00000381359.5;ENST00000686314.1;ENST00000688851.1;ENST00000300289.10;ENST00000467869.5;ENST00000417761.2;ENST00000319359.8;ENST00000497465.1;ENST00000497530.5;ENST00000486851.5;ENST00000476335.1;ENST00000433927.1;ENST00000497700.1","10169;10169;2923;2923;2923;80237;80237;80237;80237;80237;80237;80237;80237;80237","0;0;30896;30895;30895;-950;0;-367;-1828;-893;-367;-761;-18;-365"
"27","chr16",29995608,29996008,401,"*",5.77554159823482,5.44347665314778,6.04529454984591,-0.639777699962002,0.00945200565602813,0.0300567682828679,"Promoter (<=1kb)",16,29995715,30005717,10003,1,"283899","ENST00000304516.11",0,"ENSG00000169592","INO80E","INO80 complex subunit E","ENST00000304516.11;ENST00000620599.4;ENST00000380503.7;ENST00000569957.5;ENST00000563197.6;ENST00000568043.5;ENST00000567254.5;ENST00000567065.5;ENST00000562441.5;ENST00000567705.5;ENST00000567987.5;ENST00000563040.5;ENST00000540562.1;ENST00000562291.2;ENST00000279392.8;ENST00000564026.1;ENST00000563053.1;ENST00000563680.1;ENST00000566471.1;ENST00000565996.1;ENST00000568880.2;ENST00000279394.7;ENST00000570844.1","283899;283899;283899;283899;283899;283899;283899;283899;283899;283899;283899;283899;283899;283899;8479;8479;8479;8479;8479;8479;8479;9344;9344","0;-202;-210;-230;-233;-236;-236;-238;-238;-242;-243;-244;-266;-4963;0;0;0;-16;0;0;0;21327;5698"
"28","chr4",102501914,102502314,401,"*",4.10825658753787,3.2500685490343,4.64267188104107,-1.42241544845356,0.000368270221584729,0.00398084596707832,"Promoter (<=1kb)",4,102501977,102567121,65145,1,"4790","ENST00000697797.1",0,"ENSG00000109320","NFKB1","nuclear factor kappa B subunit 1","ENST00000507079.6;ENST00000394820.8;ENST00000226574.9;ENST00000652619.1;ENST00000697793.1;ENST00000697794.1;ENST00000697795.1;ENST00000697796.1;ENST00000505458.5;ENST00000697797.1;ENST00000509165.2","4790;4790;4790;4790;4790;4790;4790;4790;4790;4790;4790","0;0;0;0;0;0;0;0;0;0;-1061"
"29","chr2",201071735,201072135,401,"*",5.10013225057087,4.61968360520712,5.459929232831,-0.876736258277274,0.00206605494211853,0.0111012554276005,"Promoter (<=1kb)",2,201072001,201085750,13750,1,"4709","ENST00000237889.9",0,"ENSG00000119013","NDUFB3","NADH:ubiquinone oxidoreductase subunit B3","ENST00000418596.7;ENST00000681958.1;ENST00000286181.7;ENST00000498780.5;ENST00000452799.5;ENST00000453765.5;ENST00000446678.5;ENST00000474118.5;ENST00000485636.1;ENST00000450023.6;ENST00000237889.9;ENST00000433898.5;ENST00000684175.1;ENST00000682325.1;ENST00000454214.1;ENST00000684420.1","285172;285172;285172;285172;285172;285172;285172;285172;285172;4709;4709;4709;4709;4709;4709;4709","-66;-64;-70;-66;-90;-156;-82;-107;-64;0;0;0;0;0;0;0"
"30","chr1",150487101,150487501,401,"*",4.91919436223337,4.61533713573474,5.17005453376075,-0.591898771193619,0.0419102068959132,0.084995551129278,"Promoter (<=1kb)",1,150487414,150507258,19845,1,"80222","ENST00000369054.6",0,"ENSG00000143374","TARS2","threonyl-tRNA synthetase 2, mitochondrial","ENST00000635784.1;ENST00000369054.6;ENST00000369064.8;ENST00000606933.5;ENST00000369053.3;ENST00000369051.7;ENST00000479372.1;ENST00000467982.6;ENST00000466989.1;ENST00000480070.5;ENST00000463555.1;ENST00000460794.1;ENST00000462578.1","102465529;80222;80222;80222;80222;80222;80222;80222;80222;80222;80222;80222;80222","-4844;0;0;0;0;0;0;-369;-490;-3957;-4088;-4489;-4684"
"31","chr22",42614939,42615339,401,"*",5.04478911604588,4.24770429472566,5.55523369005756,-1.34215447158763,8.64159814295631e-06,0.000530361618327159,"Promoter (<=1kb)",22,42615244,42615393,150,1,"267010","ENST00000362512.1",0,"ENSG00000276027","RNU12","RNA, U12 small nuclear","ENST00000693367.1;ENST00000352397.10;ENST00000361740.9;ENST00000688117.1;ENST00000684963.1;ENST00000689001.1;ENST00000687198.1;ENST00000407332.6;ENST00000686523.1;ENST00000689795.1;ENST00000693363.1;ENST00000692152.1;ENST00000685184.1;ENST00000687183.1;ENST00000691295.1;ENST00000407623.8;ENST00000402438.6;ENST00000470741.1;ENST00000690835.1;ENST00000689195.1;ENST00000688244.1;ENST00000690993.1;ENST00000689239.1;ENST00000692344.1;ENST00000362512.1;ENST00000602478.1;ENST00000445215.5;ENST00000252115.10;ENST00000348657.6;ENST00000451060.6;ENST00000617178.5;ENST00000339677.10;ENST00000454057.1;ENST00000463133.1","1727;1727;1727;1727;1727;1727;1727;1727;1727;1727;1727;1727;1727;1727;1727;1727;1727;1727;1727;1727;1727;1727;1727;1727;267010;267010;84271;84271;84271;84271;84271;84271;84271;84271","33983;34053;34053;29295;14552;31340;31731;33996;34002;34008;34023;0;8774;34037;34027;31638;31633;18009;34013;34023;34045;34053;34013;34000;0;0;-70;-56;-8;0;0;-82;-79;-62"
"32","chr8",33513247,33513647,401,"*",5.22937077453996,4.42834650766298,5.74140388653349,-1.34819034203283,3.44673786355957e-06,0.00034745378205082,"Promoter (<=1kb)",8,33513475,33513578,104,1,"692084","ENST00000459299.1",0,"ENSG00000239039","SNORD13","small nucleolar RNA, C/D box 13","ENST00000459299.1;ENST00000519356.1;ENST00000613904.1;ENST00000431156.7;ENST00000360742.9;ENST00000520636.5;ENST00000523305.1","692084;80185;80185;80185;80185;80185;80185","0;-3462;-62;-112;-138;-535;-128"
"33","chr1",23368525,23368925,401,"*",4.23069489231963,3.75897602834025,4.58559277761938,-0.861028913283925,0.017733374026424,0.0459845499884935,"Promoter (<=1kb)",1,23368939,23371789,2851,1,"148898","ENST00000437367.5",-14,"ENSG00000249087","ZNF436-AS1","ZNF436 antisense RNA 1","ENST00000437367.5;ENST00000703051.1;ENST00000454117.2;ENST00000689840.1;ENST00000690463.2;ENST00000671509.2;ENST00000458053.4;ENST00000703050.1;ENST00000518600.3;ENST00000335648.3;ENST00000518821.1;ENST00000364535.1;ENST00000314011.9;ENST00000374608.3","148898;148898;148898;148898;148898;148898;148898;148898;148898;148898;148898;148898;80818;80818","-14;-23;-24;-38;-39;-64;-72;-268;-298;-311;-313;-1329;0;-139"
"34","chr10",25933714,25934114,401,"*",3.52386557938456,2.70160405709411,4.04435853185405,-1.36860431763575,0.0034438426310841,0.0153207302803281,"Promoter (<=1kb)",10,25924448,25933710,9263,2,"101929073","ENST00000452911.1",-4,"ENSG00000226304","LOC101929073","uncharacterized LOC101929073","ENST00000452911.1;ENST00000642197.1;ENST00000642920.2;ENST00000376302.5;ENST00000543632.5;ENST00000647478.1","101929073;53904;53904;53904;53904;53904","-4;-115;-115;-160;-1674;-1674"
"35","chr6",139134783,139135183,401,"*",4.70123469841884,3.95592876496647,5.1902212492847,-1.26808848434394,0.000106789745430261,0.0019165185298696,"Promoter (<=1kb)",6,139135080,139180802,45723,1,"51696","ENST00000367658.3",0,"ENSG00000112406","HECA","hdc homolog, cell cycle regulator","ENST00000367658.3","51696","0"
"36","chr6",26204307,26204707,401,"*",5.07697027343168,3.95326022768669,5.70091936515226,-1.78033208397287,2.02685955593834e-08,2.92070462010715e-05,"Promoter (<=1kb)",6,26204610,26205021,412,1,"8367","ENST00000615164.3",0,"ENSG00000276966","H4C5","H4 clustered histone 5","ENST00000356530.6;ENST00000615164.3","8343;8367","4791;0"
"37","chr4",83034698,83035098,401,"*",5.04539813902065,4.42582011489537,5.47743684391355,-1.08726638447294,0.000243063014380541,0.0031402065161315,"Promoter (<=1kb)",4,83035171,83049515,14345,1,"51138","ENST00000511891.5",-73,"ENSG00000138663","COPS4","COP9 signalosome subunit 4","ENST00000509093.5;ENST00000511891.5;ENST00000509317.5;ENST00000510801.5;ENST00000264389.7;ENST00000506443.5;ENST00000507376.1;ENST00000503682.5;ENST00000511653.1;ENST00000511708.1","51138;51138;51138;51138;51138;51138;51138;51138;51138;51138","0;-73;-75;-76;-85;-101;-103;-109;-127;-332"
"38","chr12",55817486,55817886,401,"*",3.93191037788568,2.90900159286633,4.52442900896438,-1.6417920799779,0.000115891450335308,0.0020101801288253,"Promoter (<=1kb)",12,55752463,55817724,65262,2,"84324","ENST00000546604.5",0,"ENSG00000205323","SARNP","SAP domain containing ribonucleoprotein","ENST00000552672.5;ENST00000243045.10;ENST00000550836.1;ENST00000548974.1;ENST00000546645.1;ENST00000546604.5;ENST00000552884.5;ENST00000336133.8;ENST00000552080.1;ENST00000552207.1;ENST00000546837.5;ENST00000550124.5;ENST00000546813.5;ENST00000548593.5;ENST00000552719.1;ENST00000357606.7;ENST00000678005.2;ENST00000546957.2;ENST00000547445.2;ENST00000317287.5","29095;29095;29095;29095;29095;84324;84324;84324;84324;84324;85406;85406;85406;85406;85406;85406;85406;85406;85406;85406","-155;-155;-158;-444;-470;0;0;0;0;0;0;0;0;0;0;12895;11701;11717;12938;12672"
"39","chr17",81911005,81911405,401,"*",4.0020022340068,3.09170452626905,4.55578021464965,-1.49250591877071,0.000427152507320696,0.00434410853400575,"Promoter (<=1kb)",17,81900958,81911399,10442,2,"5833","ENST00000538936.7",0,"ENSG00000185813","PCYT2","phosphate cytidylyltransferase 2, ethanolamine","ENST00000574992.5;ENST00000572976.5;ENST00000571832.5;ENST00000328666.11;ENST00000536038.5;ENST00000574153.1;ENST00000576156.1;ENST00000571233.1;ENST00000572902.5;ENST00000572350.5;ENST00000577065.5;ENST00000574495.6;ENST00000573367.5;ENST00000571915.5;ENST00000575360.5;ENST00000575244.1;ENST00000570367.5;ENST00000572671.1;ENST00000538936.7;ENST00000331285.7;ENST00000538721.6;ENST00000571105.5;ENST00000570391.5;ENST00000572995.5;ENST00000570388.5;ENST00000572924.2;ENST00000576343.5;ENST00000571944.1;ENST00000573636.6;ENST00000574155.1;ENST00000573401.6;ENST00000571581.5;ENST00000573927.5;ENST00000572473.1;ENST00000572157.1","51547;51547;51547;51547;51547;51547;51547;51547;51547;51547;51547;51547;51547;51547;51547;51547;51547;51547;5833;5833;5833;5833;5833;5833;5833;5833;5833;5833;5833;5833;5833;5833;5833;5833;5833","5047;5748;6747;6771;6771;2845;3286;3321;9918;6409;6375;6757;6727;4566;6731;4521;6747;6727;0;0;0;0;0;-3211;0;-4828;0;-4757;0;-4176;0;0;0;0;0"
"40","chr2",202375063,202375463,401,"*",4.52382428621473,3.80670111562486,5.0006629570515,-1.22731388925334,0.000361150315362694,0.00395176919257555,"Promoter (<=1kb)",2,202376327,202567749,191423,1,"659","ENST00000374580.10",-864,"ENSG00000204217","BMPR2","bone morphogenetic protein receptor type 2","ENST00000374580.10;ENST00000374574.2","659;659","-864;-1971"
"41","chr17",82003693,82004093,401,"*",3.95613174633953,3.17259532229488,4.46106631193193,-1.31821119599016,0.00160054000013872,0.00941970336870835,"Promoter (<=1kb)",17,82004345,82017404,13060,1,"79058","ENST00000577733.5",-252,"ENSG00000169696","ASPSCR1","ASPSCR1 tether for SLC2A4, UBX domain containing","ENST00000306729.11;ENST00000306739.9;ENST00000580534.5;ENST00000583503.5;ENST00000584454.5;ENST00000582355.6;ENST00000577733.5;ENST00000578236.5;ENST00000581608.5","79058;79058;79058;79058;79058;79058;79058;79058;79058","0;0;0;0;0;0;-252;-2549;-3342"
"42","chr19",46784742,46785142,401,"*",4.58402123814303,3.85602442723188,5.06558716691846,-1.24306849321116,0.00027569035526303,0.00340442150635619,"Promoter (<=1kb)",19,46774885,46784824,9940,2,"6510","ENST00000434726.6",0,"ENSG00000105281","SLC1A5","solute carrier family 1 member 5","ENST00000542575.6;ENST00000434726.6;ENST00000594991.5;ENST00000412532.6;ENST00000593713.1;ENST00000598022.1","6510;6510;6510;6510;6510;6510","0;0;0;0;0;0"
"43","chr1",100249575,100249975,401,"*",4.58382607353488,4.0417284545933,4.97694387907097,-0.970155183028377,0.00318370625168924,0.0145287135719597,"Promoter (<=1kb)",1,100186919,100249834,62916,2,"1629","ENST00000370132.8",0,"ENSG00000137992","DBT","dihydrolipoamide branched chain transacylase E2","ENST00000650038.1;ENST00000370132.8;ENST00000681617.1;ENST00000681780.1;ENST00000370131.3","100506007;1629;1629;1629;1629","16204;0;0;0;0"
"44","chr4",102827490,102827890,401,"*",5.47669332106851,4.93295354551855,5.87066917221973,-0.974562257994045,0.000186813867303344,0.00267962034930592,"Promoter (<=1kb)",4,102827611,102844099,16489,1,"105377348","ENST00000501133.3",0,NA,"UBE2D3-AS1","UBE2D3 antisense RNA 1","ENST00000501133.3;ENST00000686558.2;ENST00000453744.7;ENST00000394804.6;ENST00000394801.8;ENST00000394803.9;ENST00000343106.9;ENST00000503742.5;ENST00000321805.11;ENST00000350435.11;ENST00000338145.7;ENST00000349311.12;ENST00000504211.5;ENST00000357194.10;ENST00000505207.5;ENST00000507845.5;ENST00000502404.5;ENST00000508635.5;ENST00000505307.5;ENST00000510129.5;ENST00000508476.5;ENST00000502563.5;ENST00000508238.5;ENST00000514755.5;ENST00000508974.5;ENST00000502690.5;ENST00000508818.5;ENST00000503418.5;ENST00000508249.1;ENST00000513098.5;ENST00000503282.1","105377348;105377348;7323;7323;7323;7323;7323;7323;7323;7323;7323;7323;7323;7323;7323;7323;7323;7323;7323;7323;7323;7323;7323;7323;7323;7323;7323;7323;7323;7323;7323","0;-396;0;0;0;0;-368;0;0;-1630;0;0;-1948;0;-1710;-1705;-1710;-1950;0;0;-1931;-623;0;0;0;0;0;0;0;-480;0"
